cluster_id,name,articles,T_prod,I_prod,F_prod,T_cite,I_cite,F_cite,T_coauth,I_coauth,F_coauth,T_theory,I_theory,F_theory,T_agg,I_agg,F_agg,score,rank_classical,rank_neutro,rank_change
886,"Pino Andrade, Edmundo Enrique",4,0.198,0.485,0.318,0.0,0.5,0.5,0.079,0.451,0.47,0.0,0.25,0.75,0.07293859862617436,0.40663716920277665,0.48656297857381203,0.3932461502831952,52,121,-69
477,Roberth Alexander Anama Tiracá,3,0.148,0.441,0.411,0.0,0.5,0.5,0.171,0.398,0.431,0.0,0.667,0.333,0.08325503979104898,0.49187457555908487,0.4144129635901143,0.3923225002139499,87,122,-35
633,Diego Fernando Montalván Arévalo,4,0.198,0.485,0.318,0.0,0.5,0.5,0.131,0.419,0.45,0.0,0.5,0.5,0.08631070642765748,0.47475980474914903,0.4349055106500461,0.39221513034282074,52,123,-71
649,Diana Carolina Freire Villena,3,0.148,0.441,0.411,0.0,0.5,0.5,0.157,0.403,0.44,0.0,0.333,0.667,0.0794088572196393,0.41475293535311486,0.49556152889864463,0.38969813098929323,87,124,-37
818,Diego Patricio Gordillo Cevallos,4,0.198,0.485,0.318,0.0,0.625,0.375,0.111,0.438,0.451,0.0,0.5,0.5,0.08109834843259078,0.507593985751191,0.4049498416539978,0.38951817367580066,52,125,-73
546,Santiago Xavier Peñarreta Quezada,4,0.198,0.485,0.318,0.0,0.5,0.5,0.039,0.476,0.485,0.0,0.25,0.75,0.0630326904584757,0.41215889412979495,0.4903995145265782,0.3868247606007009,52,126,-74
568,Álvaro Mauricio Paredes Vayas,3,0.148,0.441,0.411,0.0,0.5,0.5,0.131,0.419,0.45,0.0,0.667,0.333,0.07239123726149788,0.49823830413396464,0.4189065426251678,0.3850821301674552,87,127,-40
1286,Katherine Tatiana Troya Terranova,5,0.259,0.5,0.241,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.6,0.4,0.07219960801092928,0.5233175696960527,0.3940072930322486,0.38495824842754267,35,128,-93
615,Yolanda Guissell Calva Vega,4,0.198,0.485,0.318,0.0,0.5,0.5,0.087,0.446,0.467,0.0,0.5,0.5,0.07495835223797809,0.48222991864301484,0.4389560127568369,0.38459080694604214,52,129,-77
1326,Hayk Paronyan,3,0.148,0.441,0.411,0.0,0.5,0.5,0.112,0.431,0.457,0.0,0.667,0.333,0.06736192855837575,0.5017679578513218,0.42052620597088625,0.3816892549120559,87,130,-43
483,Fredy Pablo Cañizares Galarza,3,0.148,0.441,0.411,0.0,0.5,0.5,0.112,0.431,0.457,0.0,0.667,0.333,0.06736192855837575,0.5017679578513218,0.42052620597088625,0.3816892549120559,87,130,-43
859,Rosa Evelyn Chugá Quemac,4,0.198,0.485,0.318,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.75,0.05366785653967798,0.41725873683459463,0.49414806378401965,0.3807536853070213,52,132,-80
557,Zully Rivel Nazate Chuga,3,0.148,0.441,0.411,0.0,0.5,0.5,0.105,0.439,0.456,0.0,0.333,0.667,0.06552936772287232,0.4237203641887116,0.5000064718743434,0.38060084388660576,87,133,-46
1042,Ignacio Fernando Barcos Arias,4,0.198,0.485,0.318,0.0,0.5,0.5,0.056,0.465,0.479,0.0,0.5,0.5,0.067204181828317,0.4872857094026112,0.4417490869297847,0.3793897951653071,52,134,-82
