doi,pdf_url,local_path,status,size,info
10.5281/zenodo.18294361,https://fs.unm.edu/NCML/8-128-156FrameworkNeutrosoficoNAHPNTOPSIS.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18294361.pdf,exists,843400,
10.5281/zenodo.16916945,https://fs.unm.edu/NCML/10.SistemaRecomendacionesDesempeno.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16916945.pdf,exists,508344,
10.5281/zenodo.17149463,https://fs.unm.edu/NCML/19.EvaluacionClasificacionReclamos.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17149463.pdf,exists,1081139,
10.5281/zenodo.16931811,https://fs.unm.edu/NCML/31.AnalisisImpactoEmocional.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16931811.pdf,exists,871156,
10.5281/zenodo.18991653,https://fs.unm.edu/NCML/22-348-365PercepcionProgramacionFinancieraSostenibilidad.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18991653.pdf,exists,1048849,
10.5281/zenodo.18932322,https://fs.unm.edu/NCML/18-282-296ImpactoAgentesInteligenciaArtificialAplicaciones.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18932322.pdf,exists,765202,
10.5281/zenodo.18193776,https://fs.unm.edu/NCML/27-291-398Sistemarecomendaci%C3%B3nneutros%C3%B3fico.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18193776.pdf,exists,748981,
10.5281/zenodo.15616989,https://fs.unm.edu/NCML/42.%20ConservacionUsoSostenible.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15616989.pdf,exists,377327,
10.5281/zenodo.15200542,https://fs.unm.edu/NCML/18.violenciasexual.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200542.pdf,exists,931104,
10.5281/zenodo.16916926,https://fs.unm.edu/NCML/9.ImpactoSistemaNeuroendocrino.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16916926.pdf,exists,643736,
10.5281/zenodo.17148781,https://fs.unm.edu/NCML/18.NeutrosophicStanceDetection.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17148781.pdf,exists,831297,
10.5281/zenodo.17247940,https://fs.unm.edu/NCML/2-31-36Atenci%C3%B3neducandosbajos%20resultados.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17247940.pdf,exists,592110,
10.5281/zenodo.18276695,https://fs.unm.edu/NCML/7-108-127InteligenciaNegociosOptimizarDesempenoAsesores.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18276695.pdf,exists,1130995,
10.5281/zenodo.16931455,https://fs.unm.edu/NCML/30.IntegracionDecisionesAcademicas.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16931455.pdf,exists,1082062,
10.5281/zenodo.15588507,https://fs.unm.edu/NCML/20.%20divorciomutuo.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15588507.pdf,exists,413694,
10.5281/zenodo.18041986,https://fs.unm.edu/NCML/26-379-390Modeladopredictivoempleabilidaddigital.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18041986.pdf,exists,592046,
10.5281/zenodo.15616969,https://fs.unm.edu/NCML/41.%20reformaintegraldelSistema.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15616969.pdf,exists,391831,
10.5281/zenodo.15200537,https://fs.unm.edu/NCML/17.paraeldiangostico.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200537.pdf,exists,597246,
10.5281/zenodo.16908136,https://fs.unm.edu/NCML/8.IAEticaSostenibilidad.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16908136.pdf,exists,639252,
