cluster_id,name_canonical,articles,orcid,institutions,countries,name_variants,first_year,last_year
680,Dilan Alexander Vega Molina,1,,,,Dilan Alexander Vega Molina,2024,2024
681,Diego Fernando Bejarano Ortega,1,,,,Diego Fernando Bejarano Ortega,2024,2024
683,Estefano Miguel Albán Viscarra,1,,,,Estefano Miguel Albán Viscarra,2024,2024
684,Víctor Hugo Lucero Salcedo,1,,,,Víctor Hugo Lucero Salcedo,2024,2024
686,Wai Ling Álvarez Leung,1,,,,Wai Ling Álvarez Leung,2024,2024
688,Zoila Adamary Cruz Cueva,1,,,,Zoila Adamary Cruz Cueva,2024,2024
689,Adriana Micaela Mendoza Altamirano,1,,,,Adriana Micaela Mendoza Altamirano,2024,2024
690,Cristofer Mijael Catota Velasco,1,,,,Cristofer Mijael Catota Velasco,2024,2024
659,Yharitza Mishell Puetate Meza,1,,,,Yharitza Mishell Puetate Meza,2024,2024
269,Patricia Stefania Morillo Montenegro,1,,,,Patricia Stefania Morillo Montenegro,2025,2025
270,Manuel Fabricio Reyes Wagnio,1,,,,Manuel Fabricio Reyes Wagnio,2025,2025
272,Alejandra Carolina Espinosa Torres,1,,,,Alejandra Carolina Espinosa Torres,2025,2025
243,Mónica Patricia Mayorga Díaz,1,,,,Mónica Patricia Mayorga Díaz,2025,2025
244,Britanny Gabriela Quilligana Velastegui,1,,,,Britanny Gabriela Quilligana Velastegui,2025,2025
245,María de Lourdes Manotoa Bimboza,1,,,,María de Lourdes Manotoa Bimboza,2025,2025
694,Kevin Alexander Mejía Dávila,1,,,,Kevin Alexander Mejía Dávila,2024,2024
695,"Cristhian Daniel, Pozo Tarupí",1,,,,"Cristhian Daniel, Pozo Tarupí",2023,2023
696,"Nayelhi Nicole, Ayala Martínez",1,,,,"Nayelhi Nicole, Ayala Martínez",2023,2023
697,"Yamily, González Cardona",1,,,,"Yamily, González Cardona",2023,2023
698,"Cristopher Josué, Pichucho Orozco",1,,,,"Cristopher Josué, Pichucho Orozco",2023,2023
699,"Sofia Milena, Ortiz Araque",1,,,,"Sofia Milena, Ortiz Araque",2023,2023
700,"Nicole Patricia, Paredes Mena",1,,,,"Nicole Patricia, Paredes Mena",2023,2023
701,"Ariana Emilia, Vásquez Chico",1,,,,"Ariana Emilia, Vásquez Chico",2023,2023
702,"Brian Steven, López Nacimba",1,,,,"Brian Steven, López Nacimba",2023,2023
703,Emerson Mauricio Mart�nez Cuvi,1,,,,Emerson Mauricio Mart�nez Cuvi,2023,2023
710,Johanna Estefanía Moreta Criollo,1,,,,Johanna Estefanía Moreta Criollo,2023,2023
711,Jhoselyn Lourdes Girón Peñaherrera,1,,,,Jhoselyn Lourdes Girón Peñaherrera,2023,2023
712,Diego Armando Taco Chisaguano,1,,,,Diego Armando Taco Chisaguano,2023,2023
