doi,concept,level,score
10.5281/zenodo.18905639,Term (time),2,0.1915999948978424
10.5281/zenodo.18905639,Order (exchange),2,0.18359999358654022
10.5281/zenodo.18932322,Humanities,1,0.40959998965263367
10.5281/zenodo.18932322,Context (archaeology),2,0.40119999647140503
10.5281/zenodo.18932322,Philosophy,0,0.3224000036716461
10.5281/zenodo.18932322,Perspective (graphical),2,0.30790001153945923
10.5281/zenodo.18932322,Value (mathematics),2,0.28929999470710754
10.5281/zenodo.18932322,Political science,0,0.27239999175071716
10.5281/zenodo.18932322,Order (exchange),2,0.23499999940395355
10.5281/zenodo.18932322,Duration (music),2,0.23240000009536743
10.5281/zenodo.18932322,Relation (database),2,0.20569999516010284
10.5281/zenodo.18932322,Sociology,0,0.20319999754428864
10.5281/zenodo.18932300,Political science,0,0.503000020980835
10.5281/zenodo.18932300,Geography,0,0.4767000079154968
10.5281/zenodo.18932300,Humanities,1,0.3513000011444092
10.5281/zenodo.18932300,Plan (archaeology),2,0.267300009727478
10.5281/zenodo.18932300,Forestry,1,0.2214999943971634
10.5281/zenodo.18932300,Environmental protection,1,0.20250000059604645
10.5281/zenodo.18932300,Work (physics),2,0.1859000027179718
10.5281/zenodo.18932300,Welfare economics,1,0.18070000410079956
10.5281/zenodo.18932300,Heat wave,3,0.1785999983549118
10.5281/zenodo.18932300,Cartography,1,0.1776999980211258
10.5281/zenodo.18905720,Political science,0,0.57669997215271
10.5281/zenodo.18905720,Welfare economics,1,0.45989999175071716
10.5281/zenodo.18905720,Context (archaeology),2,0.3249000012874603
10.5281/zenodo.18905720,Humanities,1,0.32339999079704285
10.5281/zenodo.18905720,Geography,0,0.3203999996185303
10.5281/zenodo.18905720,Business,0,0.2596000134944916
10.5281/zenodo.18905720,Work (physics),2,0.226500004529953
10.5281/zenodo.18905720,Rural area,2,0.22390000522136688
10.5281/zenodo.18905720,Sociology,0,0.17409999668598175
10.5281/zenodo.18905720,Rural development,3,0.16899999976158142
10.5281/zenodo.18991384,Political science,0,0.5583999752998352
10.5281/zenodo.18991384,Welfare economics,1,0.4474000036716461
10.5281/zenodo.18991384,Geography,0,0.4156999886035919
10.5281/zenodo.18991384,Humanities,1,0.4074999988079071
10.5281/zenodo.18991384,Cartography,1,0.2930000126361847
10.5281/zenodo.18991384,Confiscation,2,0.25839999318122864
10.5281/zenodo.18991384,Work (physics),2,0.24150000512599945
10.5281/zenodo.18991384,Pillar,2,0.2160000056028366
10.5281/zenodo.18991384,Business,0,0.21150000393390656
10.5281/zenodo.18991384,Economics,0,0.16459999978542328
10.5281/zenodo.18991653,Political science,0,0.3578999936580658
10.5281/zenodo.18991653,Humanities,1,0.31299999356269836
10.5281/zenodo.18991653,Economics,0,0.2734000086784363
10.5281/zenodo.18991653,Philosophy,0,0.26249998807907104
10.5281/zenodo.18991653,Welfare economics,1,0.2624000012874603
10.5281/zenodo.18991653,Extant taxon,2,0.23469999432563782
10.5281/zenodo.18991653,Pilotage,2,0.21660000085830688
10.5281/zenodo.18991653,Information gap,3,0.17030000686645508
10.5281/zenodo.18991653,Econometric analysis,2,0.15680000185966492
10.5281/zenodo.18991653,Geography,0,0.15060000121593475
10.5281/zenodo.19075590,Political science,0,0.6693000197410583
10.5281/zenodo.19075590,Humanities,1,0.618399977684021
10.5281/zenodo.19075590,Philosophy,0,0.32710000872612
10.5281/zenodo.19075590,Physics,0,0.2483000010251999
10.5281/zenodo.19075590,Access to information,3,0.1378999948501587
10.5281/zenodo.19075590,Freedom of information,2,0.13429999351501465
10.5281/zenodo.19075590,Economics,0,0.12240000069141388
10.5281/zenodo.19075590,Sociology,0,0.12039999663829803
10.5281/zenodo.19075590,Business,0,0.11909999698400497
10.5281/zenodo.19075590,Environmental crisis,2,0.11720000207424164
10.5281/zenodo.19078554,Welfare economics,1,0.4722000062465668
10.5281/zenodo.19078554,Humanities,1,0.4496999979019165
10.5281/zenodo.19078554,Political science,0,0.2653999924659729
10.5281/zenodo.19078554,Economics,0,0.2646999955177307
10.5281/zenodo.19078554,TOPSIS,2,0.21719999611377716
10.5281/zenodo.19078554,Geography,0,0.21559999883174896
10.5281/zenodo.19078554,Economic analysis,2,0.21400000154972076
10.5281/zenodo.19078554,Philosophy,0,0.1923000067472458
10.5281/zenodo.19078554,Mathematics,0,0.18850000202655792
10.5281/zenodo.19078554,Agrégation,3,0.1868000030517578
10.5281/zenodo.19078832,Humanities,1,0.7067999839782715
10.5281/zenodo.19078832,Political science,0,0.460999995470047
10.5281/zenodo.19078832,Philosophy,0,0.21410000324249268
10.5281/zenodo.19078832,Sociology,0,0.16830000281333923
10.5281/zenodo.19078832,Welfare economics,1,0.16760000586509705
10.5281/zenodo.19078832,Geography,0,0.14710000157356262
10.5281/zenodo.19078832,Profit (economics),2,0.12999999523162842
10.5281/zenodo.19078832,Mathematics,0,0.1225999966263771
10.5281/zenodo.19078832,Economic welfare,3,0.11760000139474869
10.5281/zenodo.19078832,Economics,0,0.10679999738931656
10.5281/zenodo.19080256,Humanities,1,0.42309999465942383
10.5281/zenodo.19080256,Political science,0,0.4171999990940094
10.5281/zenodo.19080256,Context (archaeology),2,0.4153999984264374
10.5281/zenodo.19080256,Philosophy,0,0.3416000008583069
10.5281/zenodo.19080256,TOPSIS,2,0.2524000108242035
10.5281/zenodo.19080256,Sociology,0,0.21639999747276306
10.5281/zenodo.19080256,Business,0,0.2160000056028366
10.5281/zenodo.19080256,Welfare economics,1,0.21439999341964722
10.5281/zenodo.19080256,Computer science,0,0.21359999477863312
10.5281/zenodo.19080256,Investment (military),3,0.16089999675750732
10.5281/zenodo.19080474,Welfare economics,1,0.5673999786376953
10.5281/zenodo.19080474,Political science,0,0.5522000193595886
10.5281/zenodo.19080474,TOPSIS,2,0.46650001406669617
10.5281/zenodo.19080474,Humanities,1,0.438400000333786
10.5281/zenodo.19080474,Hierarchy,2,0.4088999927043915
10.5281/zenodo.19080474,Analytic hierarchy process,2,0.4018999934196472
10.5281/zenodo.19080474,Order (exchange),2,0.3517000079154968
10.5281/zenodo.19080474,Geography,0,0.35089999437332153
10.5281/zenodo.19080474,Business,0,0.3231000006198883
10.5281/zenodo.19080474,Ranking (information retrieval),2,0.29179999232292175
10.5281/zenodo.19080474,Public management,2,0.28349998593330383
10.5281/zenodo.17247347,Iterative method,2,0.7042999863624573
10.5281/zenodo.17247347,Fuzzy logic,2,0.5303000211715698
10.5281/zenodo.17247347,Computer science,0,0.5217000246047974
10.5281/zenodo.17247347,Fuzzy set,3,0.4997999966144562
10.5281/zenodo.17247347,Set (abstract data type),2,0.4927000105381012
10.5281/zenodo.17247347,Algorithm,1,0.4729999899864197
10.5281/zenodo.17247347,Mathematics,0,0.4399999976158142
10.5281/zenodo.17247347,Iterative and incremental development,2,0.36649999022483826
